location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,24 X 7 Security,Full Power Backup,Jogging Track,Landscaped Gardens,Gymnasium,Lift(s),Intercom,Sports Facility,Swimming Pool,Club House,Children's play area,locality_score,project_score,builder_experience,Car Parking,Shopping Mall,Indoor Games,Maintenance Staff,Multipurpose Room,Rain Water Harvesting,Cafeteria,Vaastu Compliant,ATM,Golf Course,Staff Quarter,Hospital,School
Yadagirigutta,2100,7500000,INR,0,0,0,"It has an area of 2100 sqft . The property is available at a price of Rs. 75.00 lac . The house is unfurnished. It is east facing property. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,1,1,1.0,1,1,1,1,,,,,,,,,,,,,,,,
Sector 77,4000,57500000,INR,,0,0,"This spacious 5 bhk villa is available for sale and is located in the heart of Sector 77. It has a salable area of 4000 sqft and is available at a price of Rs. 14,375 per sqft. It is a semi-furnished property. Its main door is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,0,0,0,0,0,1,0,,1,0,0,1,,,,,,,,,,,,,,,,
Sector 34,3150,70000000,INR,,0,0,"A 3 bhk property is available for sale in Sector 34, Chandigarh. It has a built-up area of 3150 sqft and is priced at Rs. 7.00 cr . The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,2000,7990000,INR,,1,0,It has a built-up area of 2000 sqft and is priced at Rs. 79.90 lac . It is a semi-furnished property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1800,12500000,INR,1,1,0,It has an area of 1800 sqft . The property is available at a price of Rs. 1.25 cr . The house is semi-furnished. It is west facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ,1,west,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Sunny Enclave,945,4790000,INR,,1,0,"A 3 bhk property is available for sale in Sunny Enclave, Chandigarh. It is a semi-furnished property. It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,2160,6500000,INR,,1,0,"A spacious 3 bhk villa is available for sale in Sunny Enclave, Chandigarh. It has a salable area of 2160 sqft and is available at a price of Rs. 3,009 per sqft. The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Mohali Village,936,4989000,INR,1,1,0,"It’s a 3 bhk villa situated in Mohali Village, Chandigarh. It has a built-up area of 936 sqft and is priced at Rs. 49.89 lac . It is a semi-furnished property. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,5,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1800,7800000,INR,,1,0,"A spacious 3 bhk villa is available for sale in Sunny Enclave, Chandigarh. It has a built-up area of 1800 sqft and is priced at Rs. 78.00 lac . This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Dhakoli,1200,5500000,INR,,1,0,"A 2 bhk property is available for sale in Dhakoli, Chandigarh. It has an area of 1200 sqft with a carpet area of 1050 sqft . The property is available at a price of Rs. 55.00 lac . It is an unfurnished property. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sector 37,3000,45000000,INR,,0,0,"A 5 bhk property is available for sale in Sector 37, Chandigarh. It has an area of 3000 sqft with a carpet area of 2500 sqft . The property is available at a price of Rs. 4.50 cr . The house is unfurnished. Its main door is facing east direction. It is situated in the proximity of all the important facilities.",1,east,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Sector 79,4500,80000000,INR,,1,0,"Well designed 6 bhk villa is available at a prime location in Sector 79. It is a semi-furnished property. It is facing northeast direction. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,6,0,0,0,0,1,0,,1,0,0,1,,,,,,,,,,,,,,,,
Sector 33,4500,95000000,INR,,0,0,This spacious 3 bhk villa is available for sale and is located in the heart of Sector 33. It has an area of 4500 sqft with a carpet area of 2250 sqft . The property is available at a price of Rs. 9.50 cr . It is an unfurnished property. It is facing south direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ,1,south,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Dhakoli,4500,18500000,INR,,0,0,This spacious 4 bhk villa is available for sale and is located in the heart of Dhakoli. It has an area of 4500 sqft with a carpet area of 4000 sqft . The property is available at a price of Rs. 1.85 cr . It is a semi-furnished property. It is made in way to provide a comfortable living. It is well connected to the city areas. ,1,northeast,0,0,0,1,0,0,1,1,1.0,1,1,1,1,,,,,,,,,,,,,,,,
New chandigarh mohali,2700,35000000,INR,,0,0,It’s a 4 bhk villa situated in New chandigarh mohali. It has a built-up area of 2700 sqft and is priced at Rs. 3.50 cr . This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. ,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sector 80,2250,7190000,INR,,1,0,"A spacious 4 bhk villa is available for sale in Sector 80, Chandigarh. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",1,northeast,0,6,0,0,0,0,0,0,,1,0,0,1,,,,,,,,,,,,,,,,
Sunny Enclave,2160,7500000,INR,,1,0,It has an area of 2160 sqft with a carpet area of 2160 sqft . The property is available at a price of Rs. 75.00 lac . It is a semi-furnished property. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Contact us for more details. ,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Yadagirigutta,1900,6500000,INR,,1,0,This spacious 3 bhk villa is available for sale and is located in the heart of Yadagirigutta. The house is unfurnished. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1800,7800000,INR,,1,0,"This spacious 3 bhk villa is available for sale and is located in the heart of Sunny Enclave. It has an area of 1800 sqft with a carpet area of 1200 sqft . The property is available at a price of Rs. 78.00 lac . It is facing north direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,north,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1020,5000000,INR,,1,0,"It has a built-up area of 1020 sqft and is priced at Rs. 50.00 lac . It is a semi-furnished property. It is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,1647,12890000,INR,1,1,0,"A spacious 4 bhk villa is available for sale in Sunny Enclave, Chandigarh. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,0,0,1,1,,,,,,,,,,,,,,,,
Sunny Enclave,1344,4990022,INR,,1,0,This spacious 3 bhk villa is available for sale and is located in the heart of Sunny Enclave. It has an area of 1344 sqft with a carpet area of 1244 sqft . The property is available at a price of Rs. 49.90 lac . The house is semi-furnished. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ,1,east,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Sector 69,4500,75000000,INR,,1,0,"A spacious 6 bhk villa is available for sale in Sector 69, Chandigarh. The house is semi-furnished. Its main door is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,1.0,1,0,0,1,,,,,,,,,,,,,,,,
Sector 34,2250,45000000,INR,,0,0,"It has a built-up area of 2250 sqft and is priced at Rs. 4.50 cr . It is an unfurnished property. It is facing south direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,south,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Sector 80,1575,7250000,INR,,1,0,"A 4 bhk property is available for sale in Sector 80, Chandigarh. The house is semi-furnished. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",1,northeast,0,6,0,0,0,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,
Sunny Enclave,2376,7600000,INR,,1,0,It’s a 4 bhk villa situated in Sunny Enclave. The house is semi-furnished. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Contact us for more details. ,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Ambala Highway,1250,6800000,INR,,1,1,,1,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Mohali Sector 127,1000,4390000,INR,,1,1,,1,northeast,0,3,1,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Sector 18,4500,115000000,INR,,0,0,"Well designed 5 bhk villa is available at a prime location in Sector 18. It has a salable area of 4500 sqft and is available at a price of Rs. 25,555 per sqft. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Sector 79,4850,85000000,INR,,0,0,It’s a 7 bhk villa situated in Sector 79. The house is semi-furnished. It is northeast facing property. The site is in close proximity to various civic utilities. Kindly call us for details. ,1,northeast,0,6,0,0,0,0,1,0,,1,0,0,1,,,,,,,,,,,,,,,,
Kharar Mohali,2400,3900000,INR,,1,1,,1,east,0,3,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1450,8500000,INR,1,1,1,"It’s a 3 bhk villa situated in PEER MUCHALLA ADJOING SEC 20 PANCHKULA. It has a built-up area of 1450 sqft and is priced at Rs. 85.00 lac (negotiable). The house is semi-furnished. It is facing east direction. The property is available on freehold. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Chandigarh Road,720,2890000,INR,1,1,1,,1,northeast,0,3,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Airport Road,1800,6600000,INR,,1,1,"SUSHMA Valencia recreates the wonderful Spanish lifestyle. Low-rise villa floors are built with graceful archways, classic elevations, and fluted columns – everything that’s Spanish. All homes have been designed to be naturally lit, having every balcony overlooks wide green lawns. Truly, every element of SUSHMA Valencia transport residents to Spain.",1,north,0,1,1,1,1,0,1,1,1.0,1,1,1,1,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
sector 123,1350,5700000,INR,,1,0,This spacious 3 bhk villa is available for sale and is located in the heart of sector 123. It has a built-up area of 1350 sqft and is priced at Rs. 57.00 lac . It is an unfurnished property. It has 3 bathrooms and 3 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ,1,,0,1,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Kharar Road,1400,5870000,INR,,1,1,"This spacious 3 bhk villa is available for sale and is located in the heart of Kharar Road. It has a built-up area of 1400 sqft and is priced at Rs. 58.70 lac (negotiable). It is a furnished property. Furnishings include 3 wardrobe, 2 tv, 1 sofa, 1 dining table, 1 ac, 3 bed and 1 modular kitchen. Its main door is facing east direction. The property is available on freehold. It has 3 bathrooms and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ",1,east,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
IT Park Road,9000,90000000,INR,1,0,0,,1,,0,3,1,1,1,0,1,1,1.0,1,1,1,1,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kharar Mohali,1000,5490000,INR,,1,1,"Gated township, 2 tire security, 24 hours security cctv cemra, offering 170 Indepandent duplex villa in face 1 fully equipped Modular kitchen chandegarh university Rayat Bahrt university, mind tree smart school on walking in distance, huge Rantal income, unmatchable prise",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Mohali Sector 127,1800,4590000,INR,,1,1,"Well designed 4 bhk villa is available at a prime location in Mohali Sector 127. It has a built-up area of 1800 sqft and is priced at Rs. 45.90 lac (negotiable). The house is semi-furnished. One of the major USPs of the property is that it is a corner property. The property is available on freehold. It has 3 bathrooms and 3 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,2,1,0,1,0,0,0,,0,0,1,1,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0
Sector 69,4500,52500000,INR,,0,0,"A spacious 3 bhk villa is available for sale in Sector 69, Chandigarh. It has a built-up area of 4500 sqft and is priced at Rs. 5.25 cr . The house is semi-furnished. Its main door is facing south direction. This residential property is ready-to-move-in. It is well connected to the city areas. Please contact for more details. ",1,south,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
Mohali Sector 127,1000,3590000,INR,,1,0,"A 3 bhk property is available for sale in Mohali Sector 127, Chandigarh. It has an area of 1000 sqft with a carpet area of 900 sqft . The property is available at a price of Rs. 35.90 lac . It is an unfurnished property. It has 3 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Dera Bassi,1200,3390000,INR,,1,1,"A 2 bhk property is available for sale in Dera Bassi, Chandigarh. It has an area of 1200 sqft with a carpet area of 1050 sqft . The property is available at a price of Rs. 33.90 lac (negotiable ). It has 24 x 7 security. Other amenities include gymnasium, power backup, swimming pool and car parking. One of the major USPs of the property is that it is a road facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,northeast,0,1,1,1,1,0,1,0,,0,1,1,0,7.1,,,1.0,,,,,1.0,,1.0,,,1.0,,
Sector 69,9000,140000000,INR,,0,0,The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ,1,northeast,0,0,0,1,0,0,1,0,,1,0,0,1,,,,,,,,,,,,,,,,
Mullanpur,4500,29740000,INR,1,1,1,"Omaxe Mulberry Villas in Chandigarh are designed to offer delightful living experience and a great lifestyle. The Villas are enriched with luxurious amenities. The houses are modern and unique, laden with the best of facilities to soothe the living experience. The villas have smooth Italian marble flooring.The master bedroom is encompassed with laminated wooden flooring to give you the touch of nature and royalty. The modular kitchen can entice anyone to turn culinary artist with the designed perfection. The green lawns lay wide surrounding your villa, coaxing the villa amidst the beauty of nature. The luxurious experience in the bathroom is studded by its European style, making it to the epitome of desires.The destination is surrounded by facilities and amenities which would make life simpler and more comfortable. The superb connectivity reduces the hassle of the commute from any part of the city. Compared to the multitude of amenities and a peaceful existence away from the hustle of busy cities price would be a minor decision at Omaxe New Chandigarh Villas. The township boasts of amenities such as shopping complex, school, and amusement parks within the area to provide hassle-free living experience.",1,east,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Sector 10,4500,100000000,INR,,0,1,This spacious 4 bhk villa is available for sale and is located in the heart of Sector 10. It has an area of 4500 sqft with a carpet area of 3150 sqft . The property is available at a price of Rs. 10.00 cr (negotiable ). The house is semi-furnished. Its main door is facing northeast direction. It is a 11 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,northeast,0,10,0,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,6500000,INR,1,1,1,"This spacious 3 bhk villa is available for sale and is located in the heart of PEER MUCHALLA ADJOING SEC 20 PANCHKULA. It has a built-up area of 1350 sqft and is priced at Rs. 65.00 lac (negotiable). The property provides an excellent view as it overlooks the garden. The property has 3 bathrooms and 3 balconies. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Zirakpur Road,1800,6400000,INR,,1,1,"SUSHMA Valencia recreates the wonderful Spanish lifestyle. Low-rise villa floors are built with graceful archways, classic elevations, and fluted columns – everything that’s Spanish. All homes have been designed to be naturally lit, having every balcony overlooks wide green lawns. Truly, every element of SUSHMA Valencia transport residents to Spain.",1,north,0,1,1,1,1,0,1,1,1.0,1,1,1,1,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mohali Sec 125,2000,14000000,INR,,1,0,"A 4 bhk property is available for sale in Mohali Sec 125, Chandigarh. The house is unfurnished. It has 4 bathrooms and 3 balconies. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Chandigarh Road,1000,3500000,INR,,1,1,,1,northeast,0,3,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
SEC 115 MOHALI KHARAR LANDRAN ROAD,1620,4190000,INR,,1,1,"Why Green Valley Residencia?
children's Play Area
Intercom
24 X 7 Security
Indoor Games
Closed Car Parking
Banquet Hall
CCTV
Street Lighting
Panoramic Pergola Walkways
Tree Lined Boulevards
Enchanting Water Body
Stimulating Space For Yoga
Serene Gazebo Sitting For Elderly
A Palatial Entrance Lobby
Kids Entertainment Room
Cozy Card Room For Adults
Billiards
Chess
Soccer Table
Table Tennis
Dormitory For Drivers
Specifications :
Kitchen: Vitrified Ceramic flooring.
Toilets: Anti Skid Tiles.
Balcony: Anti Skid Tiles.
Interior Walls: Acrylic Emulsion Paint.
Exterior Walls: Weather proof paint.
Kitchen Walls: Ceramic Tiles.
Toilets Walls: Ceramic Tiles.
Kitchen: Granite platform with stainless steel sink.
Toilets: Provision for Geyser, Provision For Exhaust Fan.
Internal Door: Flush Door.
Windows: Aluminium Powder Coated Windows.
Frame Structure: Earthquake resistant RCC framed structure.
Wiring: Concealed copper wiring.
Switches: Modular switches.",1,,0,1,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
sector 123,1800,16500000,INR,,1,1,"It has a salable area of 1800 sqft and is available at a price of Rs. 9,166 per sqft. The house is semi-furnished. Its main door is facing north direction. The property is available on freehold. The property has 5 bathrooms and 3 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,north,0,0,0,0,1,1,0,0,,0,0,0,0,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0
Kharar Mohali,1400,5880000,INR,,1,1,"It’s a 3 bhk villa situated in Kharar Mohali, Chandigarh. It has a salable area of 1400 sqft and is available at a price of Rs. 4,200 per sqft. It is a furnished property. Furnishings include 3 wardrobe, 2 tv, 1 sofa, 1 dining table, 1 ac, 3 bed and 1 modular kitchen. The property provides an excellent view as it overlooks the garden. The property is available on freehold. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Kharar Mohali,846,4890000,INR,,1,1,"Rady to move Propty, gated Township, two tier security 24 hours Cctv camera, offering 170 Independent duplex villas in phase 1
Fully Equipped Modular kitchen",1,east,0,1,1,0,1,0,0,0,,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,
Zirakpur Road,1500,3700000,INR,,1,1,"It’s a 2 bhk villa situated in Zirakpur Road, Chandigarh. It has a built-up area of 1500 sqft and is priced at Rs. 37.00 lac (negotiable). It is a semi-furnished property. One of the major USPs of the property is that it is a road facing property. The property is available on freehold. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
