location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,24 X 7 Security,Full Power Backup,Jogging Track,Landscaped Gardens,Gymnasium,Lift(s),Intercom,Sports Facility,Swimming Pool,Club House,Children's play area,locality_score,project_score,builder_experience,Car Parking,Shopping Mall,Indoor Games,Maintenance Staff,Multipurpose Room,Rain Water Harvesting,Cafeteria,Vaastu Compliant,ATM,Golf Course,Staff Quarter,Hospital,School
Kharar Mohali,1400,3680000,INR,,1,1,"Well designed 4 bhk villa is available at a prime location in Kharar Mohali. Furnishings include 4 wardrobe, 1 tv, 1 ac, 3 bed and 1 modular kitchen. Its main door is facing east direction. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0
Mullanpur,4500,29650000,INR,1,1,1,"Omaxe Mulberry Villas in Chandigarh are designed to offer delightful living experience and a great lifestyle. The Villas are enriched with luxurious amenities. The houses are modern and unique, laden with the best of facilities to soothe the living experience. The villas have smooth Italian marble flooring.The master bedroom is encompassed with laminated wooden flooring to give you the touch of nature and royalty. The modular kitchen can entice anyone to turn culinary artist with the designed perfection. The green lawns lay wide surrounding your villa, coaxing the villa amidst the beauty of nature. The luxurious experience in the bathroom is studded by its European style, making it to the epitome of desires.The destination is surrounded by facilities and amenities which would make life simpler and more comfortable. The superb connectivity reduces the hassle of the commute from any part of the city. Compared to the multitude of amenities and a peaceful existence away from the hustle of busy cities price would be a minor decision at Omaxe New Chandigarh Villas. The township boasts of amenities such as shopping complex, school, and amusement parks within the area to provide hassle-free living experience.",1,east,0,0,1,1,0,1,1,1,,0,1,0,0,,,,1.0,,,,,,,,,,,,
Mohali Sec 79,8500,80000000,INR,,1,0,"A spacious 5 bhk villa is available for sale in Mohali Sec 79, Chandigarh. It has an area of 8500 sqft with a carpet area of 500 sqft . The property is available at a price of Rs. 8.00 cr . It is a furnished property. Furnishings include 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 modular kitchen, 5 wardrobe, 5 bed, 5 ac and 2 tv. One of the major USPs of the property is that it is a garden facing property. The property is available on freehold. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,1,0,1,1,1,1,0,1,1.0,1,0,1,1,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0
Kharar Mohali,1094,5490000,INR,,1,1,"spanish villas prime located Chd - kharar -kurali highway , gated township , two tier security , 24 hours cctv camera fully Equipped Modular kitchen , nearby chandigarh universty 5 min draving distance , school 5 mint walking distance , led steetlight , green park all aminets , club house , stp plant , gopal sweet 10 min draving distance , sub way 5 mint dravind distance , vaastu frandly socity , internatinal air por with in 10 mint draving distance",1,east,0,1,1,0,0,1,1,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1200,6500000,INR,1,1,1,"It has a salable area of 1200 sqft and is available at a price of Rs. 5,416 per sqft. It is a semi-furnished property. The property is available on freehold. The property has 3 bathrooms and 3 balconies. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Airport Road,1100,4990000,INR,,1,1,"3 bhk kothi for sale ready to move in in in affordable price
• Modern spacious kitchen with luxury fitting and finishing.
•Spacious bedrooms with luxury attached washroom.
•3 main road connectivity+ other more facilities available for your comfort
Loan available 90%
booking amount 21000

Contact for more information",1,east,1,0,1,0,0,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0
Mullanpur New Chandigarh,4500,39500000,INR,1,1,1,"Omaxe Mulberry Villas in Chandigarh are designed to offer delightful living experience and a great lifestyle. The Villas are enriched with luxurious amenities with the villas in the township spread over 4500 sq ft. The houses are modern and unique, laden with the best of facilities to soothe the living experience. The villas have smooth Italian marble flooring.The master bedroom is encompassed with laminated wooden flooring to give you the touch of nature and royalty. The modular kitchen can entice anyone to turn culinary artist with the designed perfection. The green lawns lay wide surrounding your villa, coaxing the villa amidst the beauty of nature. The luxurious experience in the bathroom is studded by its European style, making it to the epitome of desires.The destination is surrounded by facilities and amenities which would make life simpler and more comfortable. The superb connectivity reduces the hassle of the commute from any part of the city. Compared to the multitude of amenities and a peaceful existence away from the hustle of busy cities price would be a minor decision at Omaxe New Chandigarh Villas. The township boasts of amenities such as shopping complex, school, and amusement parks within the area to provide hassle-free living experience.",1,east,1,3,1,1,0,0,1,1,,0,1,0,0,,,,1.0,,,,,,,,,,,,
Chandigarh Road,720,1900000,INR,1,1,1,,1,,0,3,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Zirakpur GAzipur Road,900,3700000,INR,,1,1,"It has an area of 900 sqft with a carpet area of 800 sqft . The property is available at a price of Rs. 37.00 lac (negotiable ). The house is semi-furnished. It is northeast facing property. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Zirakpur GAzipur Road,900,3700000,INR,,1,1,"A spacious 2 bhk villa is available for sale in Zirakpur GAzipur Road, Chandigarh. It has an area of 900 sqft with a carpet area of 800 sqft . The property is available at a price of Rs. 37.00 lac (negotiable ). It is a semi-furnished property. It is a road facing property. The property has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,1,1,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Mohali Sec 125,945,5200000,INR,1,1,1,"A spacious 3 bhk villa is available for sale in Mohali Sec 125, Chandigarh. It has a salable area of 945 sqft and is available at a price of Rs. 5,502 per sqft. It is a semi-furnished property. It is facing northeast direction. The property is available on freehold. The property has 3 bathrooms and 3 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,northeast,0,2,1,1,1,0,1,1,,0,1,1,0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0
Kharar Mohali,844,4700000,INR,,1,1,"A 3 bhk property is available for sale in Kharar Mohali, Chandigarh. It has a built-up area of 844 sqft and is priced at Rs. 47.00 lac (negotiable). The house is semi-furnished. It is facing northeast direction. The property is available on freehold. It has 3 bathrooms and 3 balconies. This residential complex is under-construction as of now. The expected completion date is 24/12/2020. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,1,1,0,0,0,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,1.0,1.0,1.0
Mohali Sec 125,945,5200000,INR,1,1,1,"It’s a 3 bhk villa situated in Mohali Sec 125. It has a salable area of 945 sqft and is available at a price of Rs. 5,502 per sqft. It is a semi-furnished property. It has hospital as well as car parking. The project also has atm, 24 x 7 security, school and jogging track. The property provides an excellent view as it overlooks the garden. The property is available on freehold. The property has 3 bathrooms and 3 balconies. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,northeast,0,2,1,1,1,0,1,1,1.0,0,1,1,1,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0
Mohali Sec 125,990,5200000,INR,1,1,1,"It’s a 3 bhk villa situated in Mohali Sec 125, Chandigarh. It has an area of 990 sqft . The property is available at a price of Rs. 52.00 lac (negotiable ). The house is semi-furnished. It is northeast facing property. The property has 3 bathrooms and 3 balconies. This residential property is ready-to-move-in. ",1,northeast,0,1,1,1,0,0,0,0,,0,0,0,1,,,,,,,,,,,,1.0,,,1.0,1.0
Kharar Mohali,1400,3680000,INR,,1,1,"?? Roads : 
 Approach road : 60 ft.approved
 Entrance Road : 35ft. 
 Internal Road :30ft.

 *OFFER INCLUDES* 

*Electric chimney in Kitchen* 

*AC Copper Pipes Installed in All rooms and drawing room*
*Branded Bath fittings* 
*Branded switches* 
*Branded wiring* 
*Double charge vitrified tiles* 
*False ceiling and lighting* 
*Huge Modular kitchen* 
*S S railing In Balconies* 
*3 cupboards*
* premium quality wall tiles in bathrooms* 

 

 *Gated Community* 
 *24*7 Water Supply* 
 *24*7 Security* 

 

 *Bank loan available from All Leading Banks* 

 *Fully Developed Area* 
 *Full fledged market* 
 *Nearby Developed Locality* 
*Avail* *Pradhan* *Mantri* *Awaas* *Yojna* *Benefits* *upto* *rs* *2.67* *lakhhh*",1,east,0,2,1,0,1,0,0,0,,1,0,0,0,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0
Kharar Mohali,1100,3090000,INR,,1,1,"A spacious 2 bhk villa is available for sale in Kharar Mohali, Chandigarh. It has a built-up area of 1100 sqft and is priced at Rs. 30.90 lac (negotiable). It is a semi-furnished property. One of the major USPs of the property is that it is a garden facing property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0
Zirakpur GAzipur Road,900,3700000,INR,,1,1,"It’s a 2 bhk villa situated in Zirakpur GAzipur Road, Chandigarh. It has an area of 900 sqft with a carpet area of 750 sqft . The property is available at a price of Rs. 37.00 lac (negotiable ). The property is available on freehold. The property has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,northeast,0,1,1,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Dera Bassi,1200,3500000,INR,,1,1,"Its main door is facing northeast direction. The property is available on freehold. It has 2 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. If you are interested, please contact us for more details. ",1,northeast,0,1,1,1,1,0,0,0,,0,0,0,0,7.1,,,1.0,,,,,,,1.0,,,,,
Patiala Road Zirakpur,850,3490000,INR,,1,1,"A spacious 2 bhk villa is available for sale in Patiala Road Zirakpur, Chandigarh. It has an area of 850 sqft with a carpet area of 800 sqft . The property is available at a price of Rs. 34.90 lac (negotiable ). It is a semi-furnished property. The property is available on freehold. It has 1 bathroom and 2 balconies. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Zirakpur GAzipur Road,900,3700000,INR,,1,1,"It’s a 2 bhk villa situated in Zirakpur GAzipur Road, Chandigarh. It has a built-up area of 900 sqft and is priced at Rs. 37.00 lac (negotiable). It is a semi-furnished property. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,northeast,0,1,0,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Mohali Sec 124,1500,7180000,INR,,1,1,"We’re delighted to showcase our Premium Residential Project (AERO VILLAS) Situated on 200 Feet International Airport Road, Sector-123, Mohali in the close vicinity of Chandigarh and just minutes away from International Airport.

Here are some of the features which makes *AERO VILLAS* stand out -

Located just 300Mtr from International Airport Road.
Gated Secured Society with 24*7 survillance.

FEATURES AND AMENITIES:--

??Fully Equipped Modular Kitchen.
??Modular Wardrobes having HDHMR sheets in All Bedrooms
??Texture paint/wallpaper/POP finish in Living cum dining area.
?? Modular Touch control switches (Goldmedal), Provision, point for fans & Exhaust fan etc.
?? Washrooms with branded Fittings (KOHLER)
?? Covered Wiring for DTH, Telephone.
?? Spacious balconies with Anti Skid Tiles.
?? Split AC Provision in villas.
?? Branded Doors.
?? Secured Gated society with hi-tech security
?? CCTV Monitoring for Entire Complex.
?? Free Car parking for residents.
?? Underground wire & cabling.
?? 2.5 Acres Sectorial Park & Lush Green Garden with Kids Play Area.
?? With Spacious drawing cum dining area.
?? 24x7 Power Electricity & Water Supply.
?? Home Loan available from almost all Nationalised Banks.

?? ready to move in in VILLAS


?Kindly go through the details and let me know if you have any questions.
?Book your LUXURY VILLA today at a very affordable price to get maximum benefits.",1,northeast,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Dera Bassi,1100,3190000,INR,,1,1,One of the major USPs of the property is that it is a road facing property. The property is available on freehold. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ,1,northeast,0,1,1,1,0,0,0,0,,0,0,1,0,7.1,,123.0,1.0,,,,,,,,,,,,
Dera Bassi,1000,3190000,INR,,1,1,"Well designed 2 bhk villa is available at a prime location in Buildcon Vasant Vihar. It has a salable area of 1000 sqft and is available at a price of Rs. 3,190 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,northeast,0,1,1,1,0,0,0,0,,0,0,0,0,7.1,,123.0,1.0,,,,,,,,,,,,
Zirakpur GAzipur Road,900,3700000,INR,,1,1,"A 2 bhk property is available for sale in Zirakpur GAzipur Road, Chandigarh. It has an area of 900 sqft with a carpet area of 700 sqft . The property is available at a price of Rs. 37.00 lac (negotiable ). The house is semi-furnished. It is northeast facing property. The property is available on freehold. The property has 2 bathrooms and 2 balconies. This residential complex is under-construction as of now. The expected completion date is 12/01/2022. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,1,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Kharar Mohali,1500,7180000,INR,,1,1,"We’re delighted to showcase our Premium Residential Project (AERO VILLAS) Situated on 200 Feet International Airport Road, Sector-123, Mohali in the close vicinity of Chandigarh and just minutes away from International Airport.

Here are some of the features which makes *AERO VILLAS* stand out -

Located just 300Mtr from International Airport Road.
Gated Secured Society with 24*7 survillance.

FEATURES AND AMENITIES:--

??Fully Equipped Modular Kitchen.
??Modular Wardrobes having HDHMR sheets in All Bedrooms
??Texture paint/wallpaper/POP finish in Living cum dining area.
?? Modular Touch control switches (Goldmedal), Provision, point for fans & Exhaust fan etc.
?? Washrooms with branded Fittings (KOHLER)
?? Covered Wiring for DTH, Telephone.
?? Spacious balconies with Anti Skid Tiles.
?? Split AC Provision in villas.
?? Branded Doors.
?? Secured Gated society with hi-tech security
?? CCTV Monitoring for Entire Complex.
?? Free Car parking for residents.
?? Underground wire & cabling.
?? 2.5 Acres Sectorial Park & Lush Green Garden with Kids Play Area.
?? With Spacious drawing cum dining area.
?? 24x7 Power Electricity & Water Supply.
?? Home Loan available from almost all Nationalised Banks.

?? ready to move in in VILLAS


?Kindly go through the details and let me know if you have any questions.
?Book your LUXURY VILLA today at a very affordable price to get maximum benefits.",1,east,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Kharar Mohali,1550,3980000,INR,,1,1,"Well designed 4 bhk villa is available at a prime location in Kharar Mohali. It has an area of 1550 sqft with a carpet area of 1500 sqft . The property is available at a price of Rs. 39.80 lac (negotiable ). It has 4 wardrobe, 1 tv, 1 ac and 2 bed. It also has 1 modular kitchen. The property is available on freehold. It has 4 bathrooms and 2 balconies. It is a ready-to-move-in property. If you are interested, please contact us for more details. ",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0
Kharar Mohali,1000,2900000,INR,,1,1,"It’s a 2 bhk villa situated in Kharar Mohali. It has an area of 1000 sqft with a carpet area of 950 sqft . The property is available at a price of Rs. 29.00 lac (negotiable ). The house is semi-furnished. It has 2 wardrobe, 1 tv, 1 ac and 2 bed. It also has 1 modular kitchen. It is a road facing property. The property is available on freehold. The property has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Zirakpur GAzipur Road,900,3700000,INR,,1,1,"A spacious 2 bhk villa is available for sale in Zirakpur GAzipur Road, Chandigarh. It has an area of 900 sqft with a carpet area of 750 sqft . The property is available at a price of Rs. 37.00 lac (negotiable ). The house is semi-furnished. It is northeast facing property. The property is available on freehold. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,1,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Dera Bassi,1100,3190000,INR,,1,1,"A 2 bhk property is available for sale in Buildcon Vasant Vihar, Dera Bassi, Chandigarh. It is a semi-furnished property. One of the major USPs of the property is that it is a road facing property. The property has 2 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,northeast,0,1,1,1,0,0,0,0,,0,0,0,0,7.1,,123.0,1.0,,,,,,,,,,,,
Kharar Mohali,1250,4460000,INR,,1,1,"It’s a 2 bhk villa situated in Kharar Mohali. It has a salable area of 1250 sqft and is available at a price of Rs. 3,568 per sqft. It is a semi-furnished property. It has 2 wardrobe, 1 tv, 2 ac and 2 bed. It also has 1 modular kitchen. One of the major USPs of the property is that it is a road facing property. The property is available on freehold. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ",1,northwest,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Kharar Mohali,1250,4450000,INR,,1,1,"Well designed 2 bhk villa is available at a prime location in Kharar Mohali. It has a salable area of 1250 sqft and is available at a price of Rs. 3,560 per sqft. The house is semi-furnished. Furnishings include 2 wardrobe, 1 tv, 2 ac, 2 bed and 1 modular kitchen. It is facing northeast direction. The property is available on freehold. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
New Chandigarh Mullanpur,3240,31960000,INR,0,1,1,Its main door is facing northeast direction. This residential complex is under-construction as of now. The expected completion date is 15/07/2021. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ,1,northeast,0,0,1,1,1,0,1,1,1.0,1,1,1,1,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
New Chandigarh Mullanpur,2340,22019300,INR,0,1,1,"This spacious 4 bhk villa is available for sale and is located in the heart of New Chandigarh Mullanpur. It has a salable area of 2340 sqft and is available at a price of Rs. 9,409 per sqft. The house is semi-furnished. The property provides an excellent view as it is a corner property. The property is available on freehold. The property has 4 bathrooms and 4 balconies. This residential complex is under-construction as of now. The expected completion date is 01/07/2021. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,northeast,0,0,1,1,1,0,1,1,1.0,1,1,1,1,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
Kharar Mohali,1225,4500000,INR,,1,0,"This spacious 2 bhk villa is available for sale and is located in the heart of Kharar Mohali. It has a built-up area of 1225 sqft and is priced at Rs. 45.00 lac . It is a semi-furnished property. It has 2 wardrobe, 1 tv, 2 ac and 2 bed. It also has 1 modular kitchen. Its main door is facing northeast direction. The property is available on freehold. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,1,0,0,0,0,0,,0,0,0,0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0
kharar landran road,1053,5690000,INR,,1,1,"villa palacio by divya developer spanish villas with ultra modern amenities private garden with each villa 3 tier security , club house with indoor games s gym , 24 hours power backup , dedicated car parking space Retail shops , abundant water supply , mind tree school 2 mins , sacred soul school 10 min walking distance , chandigarh university 5 min , ggs college of modern technology 1 min vaastu frandly",1,east,0,1,1,0,1,1,1,0,,0,0,0,1,,,,,,1.0,,,,,1.0,,,,,
Kurali Chandigarh Road,1053,5600000,INR,,1,1,"owen the spanish villas with ultra modern amenities amididst an ideal environment , private garden with each villa , 3 tier security , club house with indoor games s gym , 24 hours power backup dedicated car parking space , retail shops Abundant water supply , schools mind tree 1 mins walking distance , st .Ezra international school 3 mins , chandigarh university 5 mins , cgs college of modern technology 1 mins driving distance",1,east,0,1,1,1,0,1,1,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1000,5200000,INR,1,1,1,It’s a 3 bhk villa situated in PEER MUCHALLA ADJOING SEC 20 PANCHKULA. It has a built-up area of 1000 sqft and is priced at Rs. 52.00 lac (negotiable). One of the major USPs of the property is that it is a garden facing property. The property is available on freehold. It has 3 bathrooms and 3 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ,1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
