location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens,Sports Facility,Gymnasium,locality_score,project_score,builder_experience,Indoor Games,Rain Water Harvesting,Intercom,Maintenance Staff,Vaastu Compliant,Car Parking,Shopping Mall,Multipurpose Room,ATM,Staff Quarter,Hospital,School,Cafeteria
Babu Banarasi Das National Institute of Technology Management BBD,650,3000000,INR,,1,1,"It’s a 2 bhk builder floor situated in Babu Banarasi Das National Institute of Technology Management BBD. It has an area of 650 sqft with a carpet area of 450 sqft . The property is available at a price of Rs. 30.00 lac (negotiable ). It is a semi-furnished property. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Kursi Road,1400,3600000,INR,,1,1,"It’s a 2 bhk builder floor situated in Kursi Road, Lucknow. It has a salable area of 1400 sqft and is available at a price of Rs. 2,571 per sqft. The house is semi-furnished. Furnishings include 1 wardrobe, 1 refrigerator, 1 sofa, 1 dining table, 1 ac and 1 bed. It is a road facing property. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Jankipuram,950,1899000,INR,,1,0,"A 2 bhk property is available for sale in Awadhpuram, Jankipuram, Lucknow. It has a salable area of 950 sqft and is available at a price of Rs. 1,998 per sqft. It is a semi-furnished property. It is located on the ground floor(out of a total of 2 floor(s)). One of the major USPs of the property is that it is a road facing property. The property is in a complex owned by a co-operative society. It has 2 bathrooms and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,1.0,,,,,,,
Faizabad Road,1265,4000000,INR,,1,1,"This spacious 2 bhk builder floor is available for sale and is located in Grah Builders And Developers Enclave Phase 3, one of the most prestigious projects of Faizabad Road. It has a salable area of 1265 sqft and is available at a price of Rs. 3,162 per sqft. The house is unfurnished. It’s on ground floor out of 2 floors building. It is northwest facing property. The property has 2 bathrooms and 1 balcony. It is a 2 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1,northwest,0,3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,123.0,,1.0,,,1.0,1.0,1.0,,,,,,
Jankipuram,1200,4500000,INR,,1,1,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
•	Outer doors & windows with finest quality of wood and good quality hardware fittings.",1,east,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,,,,,,,,
LDA Colony,1000,4000000,INR,,0,0,"Very near to CMS school and Krishna Nagar Metro station, walking distance, close to all amenities mall, atm, convence...rooms are very airy and spacious , it's on ground floor with park",1,west,0,6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,
Alambagh,1265,5159000,INR,,1,1,"This spacious 2 bhk builder floor is available for sale and is located in Sri Sai Infratech Basera, one of the most prestigious projects of Alambagh. The house is semi-furnished. It is on the ground floor of the building (total number of floors are 3). It has full power backup as well as children's play area. The project also has 24 x 7 security, car parking and cctv. It is a road facing property. The property is available on freehold. It has 2 bathrooms and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,east,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Alambagh,1095,4490000,INR,,1,1,"Well designed 2 bhk builder floor is available at a prime location in Sri Sai Infratech Basera. The house is semi-furnished. It has children's play area. Other amenities include cctv, full power backup, 24 x 7 security and car parking. It is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1,east,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Indira Nagar,1250,3400000,INR,,1,1," Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies. • Finished walls & ceiling in OBD with putty in drawing room with pleasing shades. • Outer doors & windows with finest quality of wood and good quality hardware fittings",1,east,0,4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,
Bijnaur Road,1300,9500000,INR,,0,1,"A spacious 3 bhk builder floor is available for sale in Bijnaur Road, Lucknow. It has an area of 1300 sqft with a carpet area of 1000 sqft . The property is available at a price of Rs. 95.00 lac (negotiable ). It is a semi-furnished property. It is located on the 1st floor(out of a total of 3 floor(s)). Its main door is facing west direction. The property is available on freehold. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Contact us for more details. ",1,west,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Viram Khand 5,1000,10950000,INR,,0,0,"Address: Jivan Plaza, Shaheed Path, Gomtinagar, Husadiya Chauraha, Viramkhand 5, Lucknow., Gomtinagar, Lucknow, U P
Property on first floor of complex. Complex at husadiya chauraha(Chandrashekhar azad chowk).
4 shops in one, 2-2 opposite each other(See map), connected.
Wide passage corridor both the sides.
Corner shops with stairs both the sides.
Front is facing shaheed path, husadiya chauraha, (Property best for showroom and offices), commercial place.


False ceiling and granite tiles on floor with skirting.
All led light setup by philips.


Plaza has cafeterias, gym, coaching institute.
Nearby places- Mr brown bakery, jaipuria school and college, husadiya chauraha, stadium, pallassio, lulu mall 6 kms. Gomtinagar railway station 3km, hospital and banks at 50 meters, atm in plaza. Supermarket store beside property.


Property has road connectivity on all sides and is situated at entrance of a posh colony with parks in front and back of property.


Lots of parking space on all sides of property.


Property since on 1st floor- Is visible from chauraha, hence good
Advertising space.",1,,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Indira Nagar,1250,3400000,INR,,1,1," Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies. • Finished walls & ceiling in OBD with putty in drawing room with pleasing shades. • Outer doors & windows with finest quality of wood and good quality hardware fittings",1,east,0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,
Sitapur Road,402,900000,INR,,1,1,It’s a 1 bhk builder floor situated in Sitapur Road. It’s on 1st floor out of 2 floors building. It is north facing property. The property is available on freehold. It has 1 bathroom and 1 balcony. Kindly call us for details. ,1,north,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,
Nawabganj,1000,3500000,INR,,1,0,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
•	Outer doors & windows with finest quality of wood and good quality hardware fittings. Vitrified tiles in drawing and bedroom, Anti skid tiles in",1,east,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,123.0,,,,,,1.0,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarojini Nagar,855,5300000,INR,,0,0,The house is furnished. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ,1,east,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashiyana Colony,400,2500000,INR,1,0,1,"It has a built-up area of 400 sqft and is priced at Rs. 25.00 lac (negotiable). It is an unfurnished property. It is on the ground floor of the building (total number of floors are 2). It is east facing property. It is a 20 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,east,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Gomti Nagar,1250,5800000,INR,,0,0,It has a built-up area of 1250 sqft and is priced at Rs. 58.00 lac . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact us for more details. ,1,east,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,,,,,,,,,,,,,,,
Nawabganj,1100,2990000,INR,,1,1,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
Outer doors & windows with finest quality of wood and good quality",1,north,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,123.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,
Jankipuram,600,2200000,INR,,1,1,"A spacious 2 bhk builder floor is available for sale in Awadhpuram, Jankipuram, Lucknow. It has a salable area of 600 sqft and is available at a price of Rs. 3,666 per sqft. It is an unfurnished property. It is located on the 1st floor(out of a total of 2 floor(s)). It is east facing property. It has 2 bathrooms and 1 balcony. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.4,,123.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,
Jankipuram,600,2200000,INR,,1,1,"It has a built-up area of 600 sqft and is priced at Rs. 22.00 lac (negotiable). It is located on the 1st floor(out of a total of 2 floor(s)). It is east facing property. The property has 2 bathrooms and 1 balcony. It is a ready-to-move-in property. If you are interested, please contact us for more details. ",1,east,0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,1.0,,,1.0,,1.0,1.0,
Bakshi Ka Talab,600,1400000,INR,,1,0,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
•	Outer doors & windows with finest quality of wood and good quality hardware fittings.
•	Wooden wardrobe in bed room
•	With modular kitchen",1,northeast,1,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Jankipuram Garden Road,1500,7500000,INR,,1,1,Modular house with jaguar bathroom fittings and with modular kitchen with glass raillings TV panel also White marble bathroom and kitchen gyser of jaguar,1,east,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,1.0,1.0
Deva Road,1240,5800000,INR,,1,1,It’s a 2 bhk builder floor situated in Deva Road. It has an area of 1240 sqft with a carpet area of 1040 sqft . The property is available at a price of Rs. 58.00 lac (negotiable ). The house is semi-furnished. The property provides an excellent view as it overlooks the road. The property is available on freehold. The property has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,east,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Husainganj,750,1700000,INR,,0,0,"A spacious 1 bhk builder floor is available for sale in Husainganj, Lucknow. It has a built-up area of 750 sqft and is priced at Rs. 17.00 lac . The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Hazratganj,1762,11000000,INR,,0,1,"A spacious 2 bhk builder floor is available for sale in Heritage, Hazratganj, Lucknow. It has a salable area of 1762 sqft and is available at a price of Rs. 6,242 per sqft. The house is semi-furnished. It’s on 4th floor out of 7 floors building. It has 2 bathrooms and 2 balconies. It is a 10 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,west,0,10,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,15.0,,,,,,1.0,,,,,,,
Mohanlalganj,1014,4800000,INR,,0,0,"A 2 bhk property is available for sale in Omaxe Limited Metro City, Mohanlalganj, Lucknow. It is a furnished property. It is an under-construction property and is expected to get completed by 31/12/2024. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.3,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Residential Open Plot Bijnor,221,800000,INR,,1,0,"Well designed 1 bhk builder floor is available at a prime location in Residential Open Plot Bijnor. It has a salable area of 221 sqft and is available at a price of Rs. 3,619 per sqft. It is a semi-furnished property. One of the major USPs of the property is that it is a corner property. The property is available on freehold. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
Jankipuram,950,1899000,INR,,1,0,"It’s a 2 bhk builder floor situated in Awadhpuram, Jankipuram. It is a semi-furnished property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",1,west,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,1.0,,,,,,,
Gomti Nagar,1200,5800000,INR,,1,1,"A spacious 3 bhk builder floor is available for sale in Gomti Nagar, Lucknow. It has a built-up area of 1200 sqft and is priced at Rs. 58.00 lac (negotiable). It is a semi-furnished property. It has 1 wardrobe, 1 sofa, 1 ac and 1 bed. The property is available on freehold. It has 3 bathrooms and 3 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. If you are interested, please contact us for more details. ",1,east,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Alambagh,1226,5000000,INR,,1,1,"The house is semi-furnished. It has full power backup. Other amenities include 24 x 7 security, children's play area and car parking. It is a garden facing property. It has 2 bathrooms and 1 balcony. It is a ready-to-move-in property. It is well connected to the city areas. Please contact for more details. ",1,east,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Kapoorthla,1500,20000000,INR,0,1,0,"A spacious 1 bhk builder floor is available for sale in Kapoorthla, Lucknow. It is an unfurnished property. It is located on the 3rd floor(out of a total of 3 floor(s)). It is facing east direction. It is an under-construction property . It is made in way to provide a comfortable living for the residents. ",1,east,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Husainganj,750,1700000,INR,,0,0,"It’s a 1 bhk builder floor situated in Husainganj, Lucknow. The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Gomti Nagar,2800,22500000,INR,,1,1,"It’s a 5 bhk builder floor situated in Gomti Nagar. It has an area of 2800 sqft with a carpet area of 1250 sqft . The property is available at a price of Rs. 2.25 cr (negotiable ). It has 1 wardrobe, 1 refrigerator, 1 dining table and 1 ac. The property provides an excellent view as it overlooks the road. The property is available on freehold. The property has 5 bathrooms and 5 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ",1,east,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,,,,,,,,1.0,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Deva Road,1500,5800000,INR,,1,1,"It has a salable area of 1500 sqft and is available at a price of Rs. 3,866 per sqft. The house is semi-furnished. It has 1 wardrobe, 1 refrigerator, 1 dining table and 1 gas connection. It also has 1 ac and 1 bed. It is a road facing property. The property is available on freehold. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Husainganj,750,1700000,INR,,0,0,"A 1 bhk property is available for sale in Husainganj, Lucknow. It has a built-up area of 750 sqft and is priced at Rs. 17.00 lac . It is a furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Husainganj,750,1700000,INR,,0,0,"A spacious 1 bhk builder floor is available for sale in Husainganj, Lucknow. It has a built-up area of 750 sqft and is priced at Rs. 17.00 lac . It is a furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Husainganj,750,1700000,INR,,0,0,"This spacious 1 bhk builder floor is available for sale and is located in the heart of Husainganj. It has a built-up area of 750 sqft and is priced at Rs. 17.00 lac . It is a furnished property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
