location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,locality_score,project_score,builder_experience,Gymnasium,24 X 7 Security,Swimming Pool,Lift(s),Jogging Track,Club House,Landscaped Gardens,Rain Water Harvesting,Sports Facility,Car Parking,Children's play area,Full Power Backup,Vaastu Compliant,Indoor Games,Intercom,Maintenance Staff,Shopping Mall,Cafeteria,ATM,Multipurpose Room,School,Hospital,Golf Course,Staff Quarter
Sarojini Nagar,850,2400000,INR,,1,0,"Well designed 1 bhk villa is available at a prime location in Sarojini Nagar. It has a salable area of 850 sqft and is available at a price of Rs. 2,823 per sqft. It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,,,1.0,,,,,,,,,
Gomti Nagar,1100,4800000,INR,,1,0,"A 2 bhk property is available for sale in Gomti Nagar, Lucknow. It has an area of 1100 sqft with a carpet area of 1000 sqft . The property is available at a price of Rs. 48.00 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,8.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarojini Nagar,500,2250000,INR,1,1,0,"It’s a 1 bhk villa situated in Swarnima Infratech Aasra Gold, Sarojini Nagar. It has an area of 500 sqft . The property is available at a price of Rs. 22.50 lac . It is an unfurnished property. It has cycling & jogging track. Other amenities include shopping mall, 24 x 7 security, cctv, internal roads, gated community, landscape garden and tree planting, gymnasium, street lighting and storm water drains. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,,,,1.0,,,,,,,
Jankipuram Extension,1000,3800000,INR,1,1,0,"It’s a 2 bhk villa situated in Vasundhara Lucknow R S Homes, Jankipuram Extension. It has a built-up area of 1000 sqft and is priced at Rs. 38.00 lac . It is an unfurnished property. It has party lawn as well as full power backup. The project also has cctv, party hall, visitor parking, closed car parking, intercom, street lighting, landscape garden and tree planting and 24 x 7 security. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. If you are interested, please contact us for more details. ",1,,0,0,,,123.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,,1.0,,,,,,,,,
Kalyanpur,1300,5800000,INR,,1,0,Well designed 2 bhk villa is available at a prime location in Kalyanpur. It has a built-up area of 1300 sqft and is priced at Rs. 58.00 lac . It is an unfurnished property. Its main door is facing west direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,west,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Sarojini Nagar,1530,3700000,INR,1,1,0,"A 3 bhk property is available for sale in Sarojini Nagar, Lucknow. It has a salable area of 1530 sqft and is available at a price of Rs. 2,418 per sqft. The house is furnished. It is east facing property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,east,1,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,,,1.0,,,,,,,,,
Arjunganj,1378,8000000,INR,0,1,0,"This spacious 3 bhk villa is available for sale and is located in the heart of Arjunganj. It has a built-up area of 1378 sqft and is priced at Rs. 80.00 lac . The house is unfurnished. It is facing northeast direction. This residential complex is under-construction as of now. . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,1.0,,,,,,,,,
Bakhshi Ka Talab,1422,9599922,INR,0,1,0,"A 3 bhk property is available for sale in Oro Real Infra Oro County, Bakhshi Ka Talab, Lucknow. It has a salable area of 1422 sqft and is available at a price of Rs. 6,751 per sqft. It is an unfurnished property. It has fire sprinklers. Other amenities include full power backup and 24x7 water supply. It is an under-construction property and is expected to get completed by 31/12/2026. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Bakkas,1439,7500068,INR,0,1,0,"It’s a 2 bhk villa situated in Sapphire Infraventures Royale, Bakkas, Lucknow. It has a salable area of 1439 sqft and is available at a price of Rs. 5,212 per sqft. The house is unfurnished. It has 24 hours water supply. Other amenities include cctv, shopping mall, landscape garden and tree planting, swimming pool, solid waste management and disposal, children's play area, paved compound, school and aggregate area of recreational open space. It is an under-construction property and is expected to get completed by 17/05/2023. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",1,,0,0,,,123.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,
Naubasta Kala,1450,3400000,INR,,1,0,This spacious 2 bhk villa is available for sale and is located in the heart of Naubasta Kala. It has a built-up area of 1450 sqft and is priced at Rs. 34.00 lac . It is north facing property. It is a 4 year old ready-to-move-in property. The site is in close proximity to various civic utilities. ,1,north,0,4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Mati,1635,6000000,INR,,1,0,Well designed 3 bhk villa is available at a prime location in Mati. It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ,1,,1,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Matiyari,2200,7600000,INR,,1,0,"It’s a 3 bhk villa situated in Matiyari, Lucknow. It has a salable area of 2200 sqft and is available at a price of Rs. 3,454 per sqft. It is an unfurnished property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Arjunganj,800,4800000,INR,1,1,0,"A spacious 3 bhk villa is available for sale in Arjunganj, Lucknow. It is a semi-furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is west facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,west,0,0,,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,
Nijampur Malhaur,1350,6150000,INR,0,1,0,"It’s a 2 bhk villa situated in Nijampur Malhaur, Lucknow. It has an area of 1350 sqft . The property is available at a price of Rs. 61.50 lac . Its main door is facing northeast direction. It is an under-construction property . It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ",1,northeast,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,1.0,,,,,,,,,
Alambagh,1265,5314000,INR,,1,0,"It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,1,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Telibagh,1940,6200000,INR,,1,0,"Well designed 3 bhk villa is available at a prime location in Telibagh. It has a salable area of 1940 sqft and is available at a price of Rs. 3,195 per sqft. It is a furnished property. It is an under-construction property . It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,1,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Chinhat,1700,5500000,INR,,1,0,"It’s a 3 bhk villa situated in Chinhat. It has a salable area of 1700 sqft and is available at a price of Rs. 3,235 per sqft. It is a semi-furnished property. It is facing east direction. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ",1,east,0,0,7.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,,,,,,,,,,,
Jankipuram,1125,5099625,INR,1,1,0,"This spacious 2 bhk villa is available for sale and is located in Hira Infra Group Vihar Phase 5, one of the most prestigious projects of Jankipuram. The house is unfurnished. It has atm. Other amenities include water storage, cycling & jogging track, solid waste management and disposal and ro water system. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",1,,0,4,8.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,,,,,,1.0,,,,,
Vrindavan Yojna,1500,6300000,INR,,1,0,"It has a salable area of 1500 sqft and is available at a price of Rs. 4,200 per sqft. The house is semi-furnished. This residential complex is under-construction as of now. . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,8.1,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,,,,,,,,,,,,
Golf City,1878,10894000,INR,,0,0,"Well designed 3 bhk villa is available at a prime location in Golf City. It has an area of 1878 sqft with a carpet area of 1295 sqft . The property is available at a price of Rs. 1.09 cr . It is a semi-furnished property. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,north,0,0,,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,
Sarojini Nagar,1350,4399000,INR,,1,0,"A 3 bhk property is available for sale in Tej Infrazone Aasra Gold, Sarojini Nagar, Lucknow. It has a salable area of 1350 sqft and is available at a price of Rs. 3,258 per sqft. It is a semi-furnished property. It has full power backup. Other amenities include cctv and children's play area. It is facing east direction. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,1,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,1.0,,,,,,,,,
Alambagh,995,3781000,INR,1,1,0,"A 2 bhk property is available for sale in Sri Sai Infratech Basera, Alambagh, Lucknow. It has an area of 995 sqft . The property is available at a price of Rs. 37.81 lac . It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact for more details. ",1,,0,1,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,,,,,,,,,,,,
Anora Kala,2000,7000000,INR,0,1,0,"It’s a 3 bhk villa situated in Anora Kala. It has an area of 2000 sqft . The property is available at a price of Rs. 70.00 lac . It is facing west direction. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,west,0,0,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,,1.0,0.0,,,,,,,,,,,,
Faizabad Road,1200,6000000,INR,1,1,0,"It has a built-up area of 1200 sqft and is priced at Rs. 60.00 lac . It is an unfurnished property. It has hospital as well as school. The project also has landscape garden and tree planting, temple, 24 x 7 security and gated community. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,,0,0,,,123.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,,,1.0,,,,,1.0,1.0,,
Matiyari,1100,6500000,INR,,1,0,"It’s a 2 bhk villa situated in Matiyari. It has a salable area of 1100 sqft and is available at a price of Rs. 5,909 per sqft. It is a semi-furnished property. Its main door is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,east,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,1.0,,,,,,,,,
Chinhat,1250,5200000,INR,,0,0,"It’s a 2 bhk villa situated in Yash Builders Lucknow Elite Villas, Chinhat. It is a 2 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,1,2,7.7,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,,,,,,,,,,,
Jankipuram,710,2850000,INR,1,1,0,"This spacious 2 bhk villa is available for sale and is located in Hira Infra Group City, one of the most prestigious projects of Jankipuram. It is an unfurnished property. It has internal roads as well as gated community. The project also has cctv, 24x7 water supply and car parking. It is made in way to provide a comfortable living for the residents. Please contact us for more details. ",1,,0,0,8.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,
Bakkas,1783,13950192,INR,0,1,0,"Well designed 3 bhk villa is available at a prime location in Sanfran Developer Estate. It has a salable area of 1783 sqft and is available at a price of Rs. 7,824 per sqft. The house is unfurnished. It has table tennis. Other amenities include shopping mall, cafeteria, paved compound, amphitheater, badminton court, 24 x 7 security, gymnasium, club house and fountains. This residential complex is under-construction as of now. The expected completion date is 01/09/2024. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,0,,,2022.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,,,1.0,1.0,,,,,,
Bharavara,2100,7200000,INR,,1,0,"A 3 bhk property is available for sale in Bharavara, Lucknow. It has an area of 2100 sqft with a carpet area of 1400 sqft . The property is available at a price of Rs. 72.00 lac . The house is unfurnished. This residential complex is under-construction as of now. . It is well connected to the city areas. Contact us for more details. ",1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Rabindra Palli Colony,4500,25000000,INR,1,0,0,"AMENITIES

AMPLE PARKING
24X7 WATER
vaastu COMPLAINT
24X7 POWER BACK UP
NEAR BY PARK
 YOGA MEDITAION ROOM

NEAR BY LOCATION

 LOHIYA HOSPITAL- 0 .6 KM
LOHIYA PARK- 0.5 KM
HAZRAT GANJ- 2 KM
CHARBAGH RLY. STATION- 4 KM
HIGH COURT- 3 KM
LEKHRAJ METRO STATION - 0.3KM

 More About This Property Best 4 BHK Villa for modern-day lifestyle is now available for sale. Grab this 4 BHK property for sale in one of Lucknow's top location, Rabindra Palli Colony. The property price of this unit is Rs 2.5 Cr. The built-up area is 4500 Square feet. There are 4 bedrooms and 4 bathroom. This property enjoys a good view and is North-East-facing. This property also enjoys power backup facility. Regular water supply is provided. It is an ideal location for young families with kids, as this property is close to Dragon Academy Of Martial Arts, Asian Institute Of Management, and Sanjay Gandhi Memorial School. Healthcare facility is also close at hand with Shekhar Hospital, Healthyminds NeuroPsychiatry, Clinical Psychology and Behavioral Sciences Centre, Dr Aleem & Dr Shazia, and Satya Hospital nearby",1,northeast,1,3,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Vrindavan Yojna,1800,7560000,INR,,1,0,Well designed 3 bhk villa is available at a prime location in Aarya Group Lucknow Blossom Villas. It has an area of 1800 sqft with a carpet area of 1200 sqft . The property is available at a price of Rs. 75.60 lac . The house is semi-furnished. It is facing east direction. It is an under-construction property . It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ,1,east,0,0,8.1,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,
Tugalpur Village,1200,2800000,INR,,1,0,It’s a 2 bhk villa situated in Tugalpur Village. It has a built-up area of 1200 sqft and is priced at Rs. 28.00 lac . The house is semi-furnished. It is an under-construction property . It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ,1,east,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,,,,,,,,,,,,
Vrindavan Yojna,1900,6000000,INR,,1,0,"A 4 bhk property is available for sale in Aarya Group Lucknow Blossom Villas, Vrindavan Yojna, Lucknow. It has an area of 1900 sqft with a carpet area of 840 sqft . The property is available at a price of Rs. 60.00 lac . The house is furnished. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,1,0,8.1,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jankipuram,710,2850000,INR,1,1,0,"Well designed 2 bhk villa is available at a prime location in Hira Infra Group City. It has a salable area of 710 sqft and is available at a price of Rs. 4,014 per sqft. It is an unfurnished property. It has cctv. Other amenities include 24x7 water supply, internal roads, gated community and car parking. This residential property is ready-to-move-in. ",1,,0,0,8.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,
Neel Matha,1500,7000000,INR,,1,0,"It’s a 3 bhk villa situated in Yash Builders India Residency, Neel Matha, Lucknow. It has a salable area of 1500 sqft and is available at a price of Rs. 4,666 per sqft. The house is semi-furnished. It is facing north direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,north,0,0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Sarojini Nagar,1260,6500000,INR,1,1,0,"A 3 bhk property is available for sale in Swarnima Infratech Aasra Gold, Sarojini Nagar, Lucknow. It has an area of 1260 sqft . The property is available at a price of Rs. 65.00 lac . It is an unfurnished property. It has storm water drains as well as gymnasium. The project also has internal roads, gated community, shopping mall, landscape garden and tree planting, 24 x 7 security, cycling & jogging track, cctv and street lighting. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,,,,1.0,,,,,,,
Kalyanpur,1350,5795000,INR,,1,0,It’s a 2 bhk villa situated in Kalyanpur. It has an area of 1350 sqft with a carpet area of 1100 sqft . The property is available at a price of Rs. 57.95 lac . The house is unfurnished. Its main door is facing west direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ,1,west,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Bakhshi Ka Talab,1235,8200400,INR,0,1,0,It has an area of 1235 sqft . The property is available at a price of Rs. 82.00 lac . The house is unfurnished. It has full power backup as well as 24x7 water supply. The project also has fire sprinklers. It is an under-construction property and is expected to get completed by 31/12/2026. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ,1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Nijampur Malhaur,1000,6200000,INR,0,1,0,"It has a salable area of 1000 sqft and is available at a price of Rs. 6,200 per sqft. The house is semi-furnished. It is facing northwest direction. It is an under-construction property . The site is in close proximity to various civic utilities. Kindly call us for details. ",1,northwest,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,1.0,,,,,,,,,
Mati,2182,7000000,INR,,1,0,"This spacious 3 bhk villa is available for sale and is located in the heart of Mati. It has an area of 2182 sqft with a carpet area of 1800 sqft . The property is available at a price of Rs. 70.00 lac . The house is furnished. It is a 2 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,1,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Faizabad Road,1462,4200000,INR,1,1,1,,1,north,0,2,,,123.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,,1.0,,1.0,1.0,,
